actual_x, actual_y, actual_z, measured_x, measured_y, measured_z
2.73796,-0.21858,0.248231,2.6184,-0.160259,0.244734
2.71773,-0.450452,0.261525,2.66954,-0.391572,0.262678
2.71746,-0.448042,0.262615,2.68001,-0.393245,0.263716
2.71687,-0.450896,0.261433,2.68001,-0.388853,0.263716
2.71787,-0.450109,0.261755,2.65915,-0.389913,0.261648
2.71638,-0.453679,0.261452,2.68001,-0.388853,0.263716
2.71759,-0.450367,0.261588,2.65915,-0.389913,0.261648
2.71678,-0.448598,0.262325,2.68001,-0.393245,0.259324
2.71869,-0.450186,0.261493,2.66954,-0.387197,0.262678
2.45218,0.462099,0.419603,2.44947,0.51069,0.425518
2.45286,0.459498,0.419064,2.44947,0.51069,0.421504
2.45325,0.459671,0.418571,2.44947,0.51069,0.425518
2.45154,0.4575,0.419461,2.44947,0.514704,0.421504
2.45259,0.458946,0.419349,2.44947,0.514704,0.425518
2.45231,0.460601,0.418853,2.44947,0.514704,0.425518
2.45233,0.461461,0.418987,2.44947,0.514704,0.425518
2.45241,0.461404,0.4191,2.44947,0.51069,0.421504
2.45151,0.461099,0.419815,2.44947,0.51069,0.421504
2.45319,0.460263,0.419354,2.44947,0.514704,0.425518
2.45259,0.461053,0.419222,2.44947,0.51069,0.421504
2.45222,0.462692,0.419864,2.44947,0.514704,0.425518
2.45238,0.461893,0.419389,2.44947,0.51069,0.421504
2.45167,0.459982,0.419314,2.44947,0.514704,0.425518
2.45223,0.461821,0.418516,2.44947,0.51069,0.425518
2.45152,0.46317,0.419193,2.44947,0.514704,0.421504
2.45165,0.461804,0.419186,2.44947,0.514704,0.425518
2.58026,0.374116,-0.45716,2.75565,0.452732,-0.482978
2.58087,0.370855,-0.457267,2.75565,0.452732,-0.482978
2.5798,0.372314,-0.457147,2.74458,0.451054,-0.481046
2.58081,0.371355,-0.457011,2.76681,0.454423,-0.484925
2.57937,0.371001,-0.456612,2.75565,0.452732,-0.482978
2.57974,0.371238,-0.457142,2.75565,0.452732,-0.482978
2.57983,0.3733,-0.457239,2.75565,0.457248,-0.482978
2.58008,0.371617,-0.45683,2.75565,0.452732,-0.482978
2.58019,0.371494,-0.456738,2.75565,0.452732,-0.482978
2.58,0.371479,-0.456887,2.75565,0.452732,-0.482978
2.57961,0.368309,-0.45711,2.76681,0.454423,-0.484925
2.57963,0.373125,-0.456327,2.74458,0.451054,-0.481046
2.5807,0.369949,-0.457525,2.75565,0.452732,-0.482978
2.57895,0.371117,-0.45728,2.75565,0.452732,-0.482978
2.58768,-0.451649,0.339998,2.57887,-0.398217,0.342443
2.58669,-0.452087,0.340447,2.57887,-0.398217,0.342443
2.58615,-0.452631,0.340288,2.57887,-0.398217,0.342443
2.58672,-0.452698,0.340405,2.56918,-0.400799,0.341148
2.5881,-0.449362,0.340305,2.57887,-0.398217,0.342443
2.58775,-0.450796,0.340198,2.56918,-0.396588,0.341148
2.58687,-0.451688,0.339831,2.57887,-0.398217,0.342443
2.58685,-0.451548,0.340289,2.56918,-0.396588,0.341148
2.58728,-0.45114,0.34021,2.57887,-0.398217,0.342443
2.58749,-0.450812,0.340295,2.56918,-0.396588,0.341148
2.58766,-0.449677,0.340138,2.56918,-0.396588,0.341148
2.58782,-0.449564,0.340086,2.57887,-0.398217,0.342443
2.64738,0.387587,0.301631,2.58864,0.431657,0.301324
2.64817,0.388168,0.301204,2.59849,0.433165,0.298219
2.64769,0.387118,0.301749,2.58864,0.431657,0.301324
2.64675,0.389164,0.302076,2.58864,0.431657,0.301324
2.6472,0.389291,0.301873,2.59849,0.437424,0.298219
2.64742,0.388388,0.301824,2.59849,0.437424,0.298219
2.64699,0.388611,0.301639,2.58864,0.4359,0.297081
2.64756,0.385976,0.301639,2.58864,0.431657,0.301324
2.64745,0.385527,0.30186,2.59849,0.433165,0.298219
2.64652,0.387848,0.301796,2.59849,0.433165,0.302477
2.64716,0.388047,0.301605,2.58864,0.431657,0.301324
2.73702,0.155455,0.248492,2.63862,0.205801,0.246639
2.73674,0.155417,0.248393,2.63862,0.205801,0.246639
2.737,0.154894,0.248385,2.64884,0.202122,0.243262
2.73697,0.154864,0.248523,2.62847,0.200836,0.241375
2.73629,0.156929,0.2488,2.63862,0.201477,0.242315
2.73651,0.156865,0.248587,2.63862,0.205801,0.246639
2.73686,0.156662,0.248336,2.63862,0.205801,0.246639
2.737,0.155703,0.248505,2.63862,0.201477,0.242315
2.58024,0.370287,-0.457317,2.75565,0.457248,-0.482978
2.58015,0.368728,-0.457179,2.76681,0.458957,-0.484925
2.58046,0.368909,-0.457176,2.76681,0.454423,-0.484925
2.5807,0.370604,-0.457477,2.76681,0.458957,-0.484925
2.58067,0.370759,-0.457201,2.76681,0.458957,-0.484925
2.58033,0.369729,-0.457113,2.76681,0.454423,-0.484925
2.57908,0.369464,-0.456212,2.76681,0.454423,-0.484925
2.57954,0.367942,-0.457264,2.76681,0.458957,-0.484925
