ActualX,ActualY,ActualZ,MeasuredX,MeasuredY,MeasuredZ
2.6517,-0.2516,0.2895,2.5692,-0.2324,0.2856
2.6426,0.3566,0.302,2.5886,0.3578,0.3013
2.5148,0.4335,0.3798,2.4672,0.4324,0.376
2.4478,0.3639,0.4192,2.4797,0.3743,0.4284
2.5747,0.342,-0.4569,2.7691,0.374,-0.4853
2.6608,0.1268,0.2889,2.5731,0.1265,0.2826
2.4276,-0.5488,0.4219,2.432,-0.5465,0.4273
2.492,-0.5532,0.3828,2.4495,-0.5362,0.3814
2.6877,-0.5541,0.2652,2.6084,-0.5323,0.2626
2.578,0.3583,0.3414,2.5692,0.3655,0.3454
2.6425,0.3583,0.3018,2.5906,0.3589,0.3007
2.8306,0.3977,0.0837,2.7894,0.3993,0.0871
2.812,-0.5293,0.0203,2.7849,-0.5195,0.0267
2.6523,-0.2482,0.2898,2.5731,-0.2353,0.2835
2.6868,-0.5565,0.2652,2.6084,-0.5323,0.2617
2.8307,0.3986,0.0838,2.7894,0.4002,0.0871
2.492,-0.5522,0.3825,2.4495,-0.5338,0.3806
2.5567,-0.4642,-0.4547,2.7099,-0.4904,-0.475
2.6868,-0.5558,0.2654,2.6084,-0.5314,0.2617
2.6421,0.3588,0.3021,2.5906,0.3589,0.3016
2.6018,-0.063,-0.472,2.7491,-0.061,-0.4908
2.7154,-0.3233,0.2505,2.6305,-0.3077,0.2467
2.8346,0.4824,0.0168,2.7985,0.4868,0.0232
2.7084,0.4325,0.2623,2.6224,0.4265,0.2589
2.5774,0.3596,0.3409,2.5692,0.3664,0.3454
2.5119,0.3636,0.3799,2.5255,0.3698,0.385
2.5589,-0.4759,0.3437,2.5538,-0.4693,0.3475
2.4938,-0.4777,0.3827,2.4942,-0.4698,0.3875
2.8318,0.399,0.0178,2.8077,0.4036,0.0233
2.4269,-0.5512,0.4219,2.432,-0.5449,0.4296
2.6237,-0.4789,0.3044,2.5789,-0.4641,0.3044
2.8114,-0.6138,-0.0453,2.7781,-0.602,-0.0407
2.5587,-0.4782,0.3432,2.55,-0.4711,0.3469
2.5737,0.3431,-0.4564,2.7646,0.3743,-0.4845
2.4487,0.4387,0.4192,2.4495,0.4441,0.4231
2.8338,0.3976,-0.0484,2.8123,0.4042,-0.0412
2.5583,-0.478,0.3433,2.5538,-0.4693,0.3475
2.6017,-0.061,-0.4719,2.7491,-0.0583,-0.4908
2.65,-0.322,0.2897,2.5789,-0.3078,0.2875
2.5734,0.3422,-0.4568,2.7534,0.3757,-0.4826
2.6499,-0.3237,0.2898,2.5789,-0.3078,0.2875
2.8134,-0.5278,-0.0447,2.794,-0.5177,-0.0409
2.8058,-0.6141,0.0866,2.7623,-0.6011,0.0908
2.5118,0.363,0.3804,2.5218,0.3702,0.3852
2.4938,-0.4751,0.3824,2.496,-0.4677,0.3878
2.6503,-0.3227,0.2897,2.5789,-0.3086,0.2875
2.5783,0.4367,0.3407,2.5293,0.435,0.34
2.806,-0.613,0.0868,2.7601,-0.5978,0.0907
2.8336,0.4839,0.0175,2.7917,0.4875,0.0232
2.8061,-0.6111,0.0867,2.7579,-0.5964,0.0906
2.8142,-0.5265,-0.0456,2.7963,-0.5181,-0.041
2.7072,0.4366,0.2627,2.6184,0.4268,0.2593
2.7167,-0.2476,0.2505,2.6164,-0.2304,0.2445
2.6868,-0.5517,0.2655,2.6064,-0.5293,0.2624
2.6515,-0.245,0.2896,2.5692,-0.2315,0.2839
2.4479,0.442,0.4191,2.4495,0.4457,0.4239
2.8112,-0.528,0.0205,2.7894,-0.5204,0.025
2.6017,-0.0591,-0.4715,2.7425,-0.0598,-0.4897
2.4461,0.367,0.4194,2.4815,0.3762,0.4287
2.65,-0.3205,0.2897,2.575,-0.3056,0.2871
2.8113,-0.5281,0.0204,2.7894,-0.5159,0.024
2.6596,0.127,0.2883,2.5711,0.1323,0.2824
2.5761,0.3623,0.341,2.5653,0.3684,0.3448
2.7065,0.356,0.2628,2.6654,0.3613,0.264
2.6883,-0.4779,0.2651,2.6346,-0.4611,0.2635
2.5582,-0.477,0.3437,2.5557,-0.4697,0.3477
2.6217,-0.5506,0.3044,2.5557,-0.5317,0.3017
2.6407,0.3633,0.302,2.5886,0.3621,0.3013
2.8331,0.3999,-0.0482,2.8123,0.4069,-0.0412
2.5767,0.3605,0.3412,2.5653,0.3684,0.3448
2.5562,-0.4625,-0.4546,2.7358,-0.4918,-0.4795
2.8319,0.4061,-0.0482,2.8123,0.406,-0.0412
2.7164,-0.2469,0.2506,2.6164,-0.2287,0.2463
2.5112,0.3638,0.3804,2.5199,0.3707,0.385
2.7056,0.3606,0.263,2.6592,0.3605,0.2643
2.511,0.3649,0.3799,2.5255,0.3715,0.385
2.6878,-0.4787,0.2653,2.6346,-0.4637,0.2635
2.4934,-0.4741,0.3826,2.496,-0.4677,0.3862
2.8339,0.4893,-0.0482,2.8008,0.489,-0.041
2.6212,-0.5537,0.3048,2.5596,-0.5309,0.3021
2.5121,0.44,0.3805,2.4654,0.4378,0.3774
