logID,Task,Checkpoint,Elapsed Time
2017-Jun-03 22:03:51,1,2,2.979000000
2017-Jun-03 22:44:05,1,1,0.001000000
2017-Jun-03 22:44:05,1,2,1.386000000
2017-Jun-03 23:22:51,1,1,0.001000000
2017-Jun-03 23:22:51,1,2,5.387999999
2017-Jun-03 23:48:26,1,1,0.001000000
2017-Jun-03 23:48:26,1,2,4.068999999
2017-Jun-04 00:05:56,1,1,0.001000000
2017-Jun-04 00:05:56,1,2,4.501000000
2017-Jun-04 00:48:17,1,1,0.001000000
2017-Jun-04 00:48:17,1,2,3.160000000
2017-Jun-04 00:48:17,1,3,112.304000000
2017-Jun-04 01:34:35,1,1,0.001000000
2017-Jun-04 01:34:35,1,2,1.328000000
2017-Jun-04 01:34:35,1,3,121.861000000
2017-Jun-04 08:27:20,1,1,0.001000000
2017-Jun-04 08:27:20,1,2,1.338000000
2017-Jun-04 09:09:51,1,1,0.001000000
2017-Jun-04 09:09:51,1,2,1.320000000
2017-Jun-04 09:30:22,1,1,0.001000000
2017-Jun-04 09:30:22,1,2,2.898000000
2017-Jun-04 10:19:18,1,1,0.001000000
2017-Jun-04 10:19:18,1,2,3.052000000
2017-Jun-04 10:34:20,1,1,0.001000000
2017-Jun-04 10:34:20,1,2,1.441000000
2017-Jun-04 10:34:20,1,3,173.854000000
2017-Jun-04 11:10:50,1,1,0.001000000
2017-Jun-04 11:10:50,1,2,1.328000000
2017-Jun-04 14:34:47,1,1,0.001000000
2017-Jun-04 14:34:47,1,2,3.254999999
2017-Jun-04 14:34:47,1,3,8.598000000
2017-Jun-04 14:34:47,1,4,191.268000000
2017-Jun-04 14:34:47,1,5,232.927999999
2017-Jun-04 15:41:42,1,1,0.001000000
2017-Jun-04 15:41:42,1,2,3.115000000
2017-Jun-04 15:41:42,1,3,8.458000000
2017-Jun-04 15:55:42,1,1,0.001000000
2017-Jun-04 15:55:42,1,2,3.208000000
2017-Jun-04 15:55:42,1,3,136.070999999
2017-Jun-04 16:54:16,1,1,0.001000000
2017-Jun-04 16:54:16,1,2,1.300000000
2017-Jun-04 17:28:42,1,1,0.001000000
2017-Jun-04 17:28:42,1,2,1.336000000
2017-Jun-04 18:07:00,1,1,0.001000000
2017-Jun-04 18:07:00,1,2,1.330999999
2017-Jun-04 18:07:00,1,3,126.453999999
2017-Jun-04 18:36:37,1,1,0.001000000
2017-Jun-04 18:36:37,1,2,1.270999999
2017-Jun-13 17:51:20,1,1,0.001000000
2017-Jun-13 17:51:20,1,2,2.726000000
2017-Jun-13 17:51:20,1,3,45.219999999
2017-Jun-13 17:51:20,1,4,135.449999999
2017-Jun-13 17:51:20,1,5,200.484000000
2017-Jun-13 17:51:20,2,0,0.000000000
2017-Jun-15 03:36:49,1,1,0.001000000
2017-Jun-15 03:36:49,1,2,2.694000000
2017-Jun-15 03:36:49,1,3,47.856999999
2017-Jun-15 03:20:24,1,1,0.001000000
2017-Jun-15 03:20:24,1,2,1.508999999
2017-Jun-15 03:20:24,1,3,6.522999999
2017-Jun-15 10:28:03,1,1,0.001000000
2017-Jun-15 10:28:03,1,2,3.201999999
2017-Jun-15 10:28:03,1,3,76.885000000
2017-Jun-15 11:41:21,1,1,0.001000000
2017-Jun-15 11:41:21,1,2,3.242000000
2017-Jun-15 11:41:21,1,3,72.295000000
2017-Jun-15 12:59:07,1,1,0.001000000
2017-Jun-15 12:59:07,1,2,3.931000000
2017-Jun-15 12:59:07,1,3,147.824000000
2017-Jun-15 16:31:39,1,1,0.001000000
2017-Jun-15 16:31:39,1,2,3.379000000
2017-Jul-13 13:05:04,1,1,0.001000000
2017-Jul-13 13:05:04,1,2,3.242000000
2017-Jul-13 13:05:04,1,3,186.534999999
2017-Jul-13 14:00:33,1,1,0.001000000
2017-Jul-13 14:00:33,1,2,3.258000000
2017-Jul-13 14:00:33,1,3,110.191999999
2017-Jul-13 14:00:33,1,4,236.771999999
2017-Jul-13 16:12:42,1,1,0.001000000
2017-Jul-13 16:12:42,1,2,1.294999999
2017-Jul-13 16:12:42,1,3,114.957999999
2017-Jul-13 17:03:35,1,1,0.001000000
2017-Jul-13 17:03:35,1,2,1.441000000
2017-Jul-13 17:03:35,1,3,114.774000000
2017-Jul-13 17:03:35,1,4,180.283999999
2017-Jul-13 17:54:16,1,1,0.001000000
2017-Jul-13 17:54:16,1,2,1.286999999
2017-Jul-13 17:54:16,1,3,146.099999999
2017-Jul-13 17:54:16,1,4,242.479999999
